category,method,run_mode,representation_source,anomaly_head,aug_strength,backbone_name,layers,img_size,coreset_ratio,img_roc_auc,img_pr_auc,px_roc_auc,fit_sec,sec_per_img,n_eval_images,feature_dim,memory_bank_n,memory_bank_mb,checkpoint_size_mb,peak_gpu_mem_mb
toothbrush,simclr_strong_padim,full,simclr,padim,strong,resnet18_imagenet,layer3,224,,0.9333333333333333,0.9767871997283761,0.9572248352377226,1.9788978099822998,0.03655835560389927,42.0,100.0,196.0,7.55157470703125,42.71171855926514,315.916015625
transistor,simclr_mild_patchcore,full,simclr,patchcore,mild,resnet18_imagenet,layer3,224,0.05,0.6379166666666667,0.562935712513434,0.8467001358907311,5.490678071975708,0.031300168037414554,100.0,256.0,1882.0,1.837890625,42.7114782333374,322.041015625
transistor,simclr_strong_patchcore,full,simclr,patchcore,strong,resnet18_imagenet,layer3,224,0.05,0.7366666666666667,0.7012916856634166,0.8607852641830196,5.353729009628296,0.030324647426605223,100.0,256.0,1882.0,1.837890625,42.71171855926514,322.041015625
transistor,simclr_mild_padim,full,simclr,padim,mild,resnet18_imagenet,layer3,224,,0.8912499999999999,0.8930368885814515,0.9682005793806756,5.4739625453948975,0.029876582622528076,100.0,100.0,196.0,7.55157470703125,42.7114782333374,322.041015625
transistor,simclr_strong_padim,full,simclr,padim,strong,resnet18_imagenet,layer3,224,,0.84125,0.8319790367625584,0.9512305760874512,5.592632293701172,0.031373350620269774,100.0,100.0,196.0,7.55157470703125,42.71171855926514,322.041015625
wood,simclr_mild_patchcore,full,simclr,patchcore,mild,resnet18_imagenet,layer3,224,0.05,0.968421052631579,0.9915832432459716,0.8177579285166676,6.976097106933594,0.03879807267007949,79.0,256.0,2176.0,2.125,42.7114782333374,322.041015625
wood,simclr_strong_patchcore,full,simclr,patchcore,strong,resnet18_imagenet,layer3,224,0.05,0.8543859649122807,0.9527698523808291,0.781969455342062,6.732532262802124,0.038657031481779076,79.0,256.0,2176.0,2.125,42.71171855926514,322.041015625
wood,simclr_mild_padim,full,simclr,padim,mild,resnet18_imagenet,layer3,224,,0.9631578947368421,0.9894691290060856,0.7994158656026022,6.998790979385376,0.03670345077031775,79.0,100.0,196.0,7.55157470703125,42.7114782333374,322.041015625
wood,simclr_strong_padim,full,simclr,padim,strong,resnet18_imagenet,layer3,224,,0.7403508771929824,0.8948313791181776,0.7756789774928741,6.953845739364624,0.03601307205007046,79.0,100.0,196.0,7.55157470703125,42.71171855926514,322.041015625
zipper,simclr_mild_patchcore,full,simclr,patchcore,mild,resnet18_imagenet,layer3,224,0.05,0.8025210084033614,0.9203236847556506,0.9407267510654662,3.180769443511963,0.017351726822505725,151.0,256.0,2117.0,2.0673828125,42.7114782333374,322.041015625
zipper,simclr_strong_patchcore,full,simclr,patchcore,strong,resnet18_imagenet,layer3,224,0.05,0.7977941176470589,0.9006627543573,0.9391148896282474,3.0975749492645264,0.017128687031221706,151.0,256.0,2117.0,2.0673828125,42.71171855926514,322.041015625
zipper,simclr_mild_padim,full,simclr,padim,mild,resnet18_imagenet,layer3,224,,0.873686974789916,0.9443662275445073,0.9095217491039262,3.324685573577881,0.016744683120424386,151.0,100.0,196.0,7.55157470703125,42.7114782333374,322.041015625
zipper,simclr_strong_padim,full,simclr,padim,strong,resnet18_imagenet,layer3,224,,0.8253676470588236,0.9404497635686343,0.8980318951570141,3.3133513927459717,0.01649715726738734,151.0,100.0,196.0,7.55157470703125,42.71171855926514,322.041015625
MEAN,autoencoder,full,none,autoencoder,none,,layer3,224,,0.5279350944874001,0.7669489885081703,0.6173427754537084,26.339031902949014,0.02918536648238057,,,,,0.9915918350219727,
MEAN,imagenet_padim,full,imagenet,padim,none,,layer3,224,,0.9215592407561005,0.9561486710118273,0.9557377948646315,5.451061979929606,0.029220378038983492,,100.0,196.0,7.55157470703125,,
MEAN,imagenet_patchcore,full,imagenet,patchcore,none,,layer3,224,0.05,0.8220207378518032,0.920158922004595,0.9398779869029446,5.698702239990235,0.0323700854871627,,256.0,2134.5333333333333,2.0845052083333333,,
MEAN,simclr_mild_padim,full,simclr,padim,mild,,layer3,224,,0.7853170551004963,0.8969014930714032,0.8786899862581344,5.073669894536336,0.02644198367507629,,100.0,196.0,7.55157470703125,42.7114782333374,321.63268229166664
MEAN,simclr_mild_patchcore,full,simclr,patchcore,mild,,layer3,224,0.05,0.7594119749286485,0.8809066906674211,0.8798481856260371,4.978818432490031,0.027822392998971632,,256.0,2134.5333333333333,2.0845052083333333,42.7114782333374,321.63268229166664
MEAN,simclr_strong_padim,full,simclr,padim,strong,,layer3,224,,0.7607573344390005,0.8872360112512148,0.8687785192887105,5.078313604990641,0.02660682336161048,,100.0,196.0,7.55157470703125,42.71171855926514,321.63268229166664
MEAN,simclr_strong_patchcore,full,simclr,patchcore,strong,,layer3,224,0.05,0.7292828805533837,0.8686962383477049,0.8820509256448966,4.836988798777262,0.027464435798450645,,256.0,2134.5333333333333,2.0845052083333333,42.71171855926514,321.63268229166664
